년도,월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,노선,국가,공항,도착_출발,정기_부정기,여객_화물,운항(편),유임승객(명),무임승객(명),환승객(명),직화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2026년,01월,AIH,KJ,에어제타,국제,동북아,홍콩,HKG,출발,부정기,화물,7 ,0 ,0 ,0 ,48641 ,14130 ,0 ,0 
2026년,01월,AIH,KJ,에어제타,국제,동남아,베트남,HAN,도착,정기,화물,82 ,0 ,0 ,0 ,976820 ,349256 ,0 ,0 
2026년,01월,AIH,KJ,에어제타,국제,동남아,베트남,HAN,도착,부정기,화물,2 ,0 ,0 ,0 ,29170 ,110289 ,0 ,0 
2026년,01월,AIH,KJ,에어제타,국제,동남아,베트남,HAN,출발,정기,화물,83 ,0 ,0 ,0 ,2763929 ,233311 ,1482 ,0 
2026년,01월,AIH,KJ,에어제타,국제,동남아,베트남,HAN,출발,부정기,화물,2 ,0 ,0 ,0 ,81586 ,26051 ,0 ,0 
2026년,01월,AIH,KJ,에어제타,국제,동남아,싱가포르,SIN,도착,부정기,화물,10 ,0 ,0 ,0 ,267336 ,124986 ,0 ,0 
2026년,01월,AIH,KJ,에어제타,국제,동남아,싱가포르,SIN,출발,부정기,화물,10 ,0 ,0 ,0 ,379085 ,373093 ,1259 ,0 
2026년,01월,AIH,KJ,에어제타,국제,동남아,태국,BKK,도착,부정기,화물,0 ,0 ,0 ,0 ,297287 ,153725 ,0 ,0 
2026년,01월,AIH,KJ,에어제타,국제,미주,미국,ANC,도착,정기,화물,0 ,0 ,0 ,0 ,232775 ,113204 ,0 ,0 
2026년,01월,AIH,KJ,에어제타,국제,미주,미국,ANC,도착,부정기,화물,0 ,0 ,0 ,0 ,50284 ,16624 ,0 ,0 
2026년,01월,AIH,KJ,에어제타,국제,미주,미국,ANC,출발,정기,화물,0 ,0 ,0 ,0 ,106 ,0 ,0 ,0 
